entropy,information_content,probability_gap,any,all,attack,epsilon
1.0,1.0,0.8666666666666667,1.0,0.8666666666666667,fgsm,0.009999999776482582
1.0,1.0,0.8666666666666667,1.0,0.8666666666666667,bim,0.009999999776482582
1.0,1.0,0.8387096774193549,1.0,0.8387096774193549,deepfool,0.009999999776482582
0.9473684210526315,1.0,0.8070175438596491,1.0,0.7543859649122807,fgsm,0.019999999552965164
0.9482758620689655,1.0,0.8103448275862069,1.0,0.7586206896551724,bim,0.019999999552965164
1.0,1.0,0.7931034482758621,1.0,0.7931034482758621,deepfool,0.019999999552965164
0.8444444444444444,0.9888888888888889,0.7888888888888889,1.0,0.6333333333333333,fgsm,0.030000001192092896
0.8315789473684211,0.9894736842105263,0.7789473684210526,1.0,0.6105263157894737,bim,0.030000001192092896
1.0,1.0,0.7282608695652174,1.0,0.7282608695652174,deepfool,0.030000001192092896
0.7704918032786885,0.9754098360655737,0.7868852459016393,1.0,0.5573770491803278,fgsm,0.04000000283122063
0.7709923664122137,0.9770992366412213,0.8244274809160306,1.0,0.5954198473282443,bim,0.04000000283122063
1.0,1.0,0.7235772357723578,1.0,0.7235772357723578,deepfool,0.04000000283122063
0.7530864197530864,0.9382716049382716,0.8395061728395061,1.0,0.5925925925925926,fgsm,0.05000000447034836
0.7426900584795322,0.9181286549707602,0.8421052631578947,1.0,0.5847953216374269,bim,0.05000000447034836
1.0,1.0,0.7349397590361446,1.0,0.7349397590361446,deepfool,0.05000000447034836
0.7025641025641025,0.9076923076923077,0.8512820512820513,1.0,0.5538461538461539,fgsm,0.05999999865889549
0.6763285024154589,0.8743961352657005,0.9130434782608695,1.0,0.5893719806763285,bim,0.05999999865889549
1.0,1.0,0.7487437185929648,1.0,0.7487437185929648,deepfool,0.05999999865889549
0.6294642857142857,0.8794642857142857,0.8839285714285714,1.0,0.5133928571428571,fgsm,0.07000000029802322
0.5697211155378487,0.8406374501992032,0.9083665338645418,1.0,0.47808764940239046,bim,0.07000000029802322
1.0,1.0,0.7456140350877193,1.0,0.7456140350877193,deepfool,0.07000000029802322
0.5681818181818182,0.8484848484848485,0.8863636363636364,1.0,0.45454545454545453,fgsm,0.07999999821186066
0.5098039215686274,0.8300653594771242,0.9215686274509803,1.0,0.43137254901960786,bim,0.07999999821186066
1.0,1.0,0.76,1.0,0.76,deepfool,0.07999999821186066
0.5493421052631579,0.8388157894736842,0.8914473684210527,1.0,0.4407894736842105,fgsm,0.09000000357627869
0.4676056338028169,0.7718309859154929,0.923943661971831,1.0,0.39154929577464787,bim,0.09000000357627869
1.0,1.0,0.7579617834394905,1.0,0.7579617834394905,deepfool,0.09000000357627869
0.5132743362831859,0.7964601769911505,0.8997050147492626,1.0,0.41297935103244837,fgsm,0.10000000149011612
0.4116161616161616,0.7171717171717171,0.9368686868686869,1.0,0.3484848484848485,bim,0.10000000149011612
0.9971830985915493,1.0,0.7690140845070422,1.0,0.7661971830985915,deepfool,0.10000000149011612
