alpha,q_hat,certain_accuracy,uncertain_accuracy,proportion_adv_caught_0.01,proportion_adv_caught_0.05,false_positive_proportion,false_negative_proportion,true_test_accuracy
0.05,0.6909628510475159,0.9184210300445557,0.5,1.0,0.9125874042510986,0.02500000037252903,0.07750000059604645,0.8975
0.1,0.683421790599823,0.9357541799545288,0.5714285969734192,1.0,0.9720279574394226,0.05999999865889549,0.057500001043081284,0.8975
0.15,0.6740061044692993,0.9473684430122375,0.6034482717514038,1.0,0.9790209531784058,0.08749999850988388,0.04500000178813934,0.8975
0.2,0.6588199138641357,0.953987717628479,0.6486486196517944,1.0,0.9825174808502197,0.11999999731779099,0.03750000149011612,0.8975
0.25,0.6463271379470825,0.9709677696228027,0.644444465637207,1.0,0.9895104765892029,0.14499999582767487,0.02250000089406967,0.8975
0.3,0.6156086921691895,0.97826087474823,0.7177419066429138,1.0,0.996503472328186,0.2224999964237213,0.014999999664723873,0.8975
0.35,0.5979726314544678,0.981203019618988,0.7313432693481445,1.0,0.996503472328186,0.24500000476837158,0.012500000186264515,0.8975
0.39999999999999997,0.5623119473457336,0.9828326106071472,0.7784430980682373,1.0,1.0,0.32499998807907104,0.009999999776482582,0.8975
0.44999999999999996,0.5418704152107239,0.9809523820877075,0.8052631616592407,1.0,1.0,0.3824999928474426,0.009999999776482582,0.8975
0.49999999999999994,0.5254403352737427,0.9899497628211975,0.8059701323509216,1.0,1.0,0.4050000011920929,0.004999999888241291,0.8975
0.5499999999999999,0.49780407547950745,1.0,0.8127853870391846,1.0,1.0,0.4449999928474426,0.0,0.8975
0.6,0.47128361463546753,1.0,0.8247863054275513,1.0,1.0,0.48249998688697815,0.0,0.8975
0.65,0.44357824325561523,1.0,0.8346773982048035,1.0,1.0,0.5174999833106995,0.0,0.8975
0.7,0.40153294801712036,1.0,0.8492646813392639,1.0,1.0,0.5774999856948853,0.0,0.8975
0.75,0.2831996977329254,1.0,0.8655737638473511,1.0,1.0,0.6600000262260437,0.0,0.8975
0.7999999999999999,0.2300742119550705,1.0,0.8694267272949219,1.0,1.0,0.6825000047683716,0.0,0.8975
0.85,0.13384191691875458,1.0,0.8804664611816406,1.0,1.0,0.7549999952316284,0.0,0.8975
0.9,0.10454574227333069,1.0,0.8825215101242065,1.0,1.0,0.7699999809265137,0.0,0.8975
0.95,0.04447006806731224,1.0,0.8894878625869751,1.0,1.0,0.824999988079071,0.0,0.8975
