model,attack,epsilon,distance_class_0,distance_class_1
spambase_60,FGSM,0.01,1.4156744480133057,1.618353247642517
spambase_60,FGSM,0.05,1.3067679405212402,1.5795973539352417
spambase_60,FGSM,0.1,1.5389177799224854,1.3975921869277954
spambase_60,DF_L2,0.01,1.4632513523101807,1.3748270273208618
spambase_60,DF_L2,0.05,1.0252459049224854,1.3296101093292236
spambase_60,DF_L2,0.1,0.9549470543861389,1.3768980503082275
spambase_60,DF_Linf,0.01,1.3762403726577759,1.524612307548523
spambase_60,DF_Linf,0.05,1.4247105121612549,1.509461522102356
spambase_60,DF_Linf,0.1,1.4550281763076782,1.5461821556091309
spambase_60,BIM_Linf,0.01,1.3604329824447632,1.5835884809494019
spambase_60,BIM_Linf,0.05,1.449879765510559,1.496976613998413
spambase_60,BIM_Linf,0.1,1.4778993129730225,1.5128552913665771
spambase_100,FGSM,0.01,1.2882170677185059,1.6080089807510376
spambase_100,FGSM,0.05,1.435641884803772,1.4565584659576416
spambase_100,FGSM,0.1,1.3058680295944214,1.4745233058929443
spambase_100,DF_L2,0.01,1.1311829090118408,1.3997061252593994
spambase_100,DF_L2,0.05,1.4165955781936646,1.4114576578140259
spambase_100,DF_L2,0.1,1.2045140266418457,1.3060344457626343
spambase_100,DF_Linf,0.01,1.3513215780258179,1.4690659046173096
spambase_100,DF_Linf,0.05,1.4093908071517944,1.489106297492981
spambase_100,DF_Linf,0.1,1.3114430904388428,1.602194905281067
spambase_100,BIM_Linf,0.01,1.358530044555664,1.5479774475097656
spambase_100,BIM_Linf,0.05,1.344262957572937,1.4696303606033325
spambase_100,BIM_Linf,0.1,1.4546029567718506,1.4336531162261963
spambase_200,FGSM,0.01,1.3636311292648315,1.5272083282470703
spambase_200,FGSM,0.05,1.3322439193725586,1.4829620122909546
spambase_200,FGSM,0.1,1.3826978206634521,1.565346121788025
spambase_200,DF_L2,0.01,1.2232263088226318,1.2090446949005127
spambase_200,DF_L2,0.05,1.1007152795791626,1.5726909637451172
spambase_200,DF_L2,0.1,1.163525938987732,1.3521122932434082
spambase_200,DF_Linf,0.01,1.4045190811157227,1.5089515447616577
spambase_200,DF_Linf,0.05,1.4341667890548706,1.575693964958191
spambase_200,DF_Linf,0.1,1.5290251970291138,1.4880852699279785
spambase_200,BIM_Linf,0.01,1.4366329908370972,1.4205467700958252
spambase_200,BIM_Linf,0.05,1.3503624200820923,1.54875648021698
spambase_200,BIM_Linf,0.1,1.4051684141159058,1.6074893474578857
spambase_300,FGSM,0.01,1.3456590175628662,1.541103482246399
spambase_300,FGSM,0.05,1.3208426237106323,1.5800279378890991
spambase_300,FGSM,0.1,1.3485260009765625,1.5671076774597168
spambase_300,DF_L2,0.01,1.0893055200576782,1.2747876644134521
spambase_300,DF_L2,0.05,1.1950398683547974,1.1769665479660034
spambase_300,DF_L2,0.1,1.2404468059539795,1.2616595029830933
spambase_300,DF_Linf,0.01,1.3618112802505493,1.4794186353683472
spambase_300,DF_Linf,0.05,1.3700830936431885,1.5371100902557373
spambase_300,DF_Linf,0.1,1.3634310960769653,1.5218664407730103
spambase_300,BIM_Linf,0.01,1.4824360609054565,1.4996236562728882
spambase_300,BIM_Linf,0.05,1.3466336727142334,1.5668885707855225
spambase_300,BIM_Linf,0.1,1.2770177125930786,1.535826563835144
spambase_400,FGSM,0.01,1.421338677406311,1.501542568206787
spambase_400,FGSM,0.05,1.2947019338607788,1.5267601013183594
spambase_400,FGSM,0.1,1.3515398502349854,1.430509328842163
spambase_400,DF_L2,0.01,1.2060328722000122,1.4311227798461914
spambase_400,DF_L2,0.05,1.1288812160491943,1.3973222970962524
spambase_400,DF_L2,0.1,1.4505435228347778,1.2644935846328735
spambase_400,DF_Linf,0.01,1.4886209964752197,1.4967303276062012
spambase_400,DF_Linf,0.05,1.3407855033874512,1.5487658977508545
spambase_400,DF_Linf,0.1,1.3961451053619385,1.6347193717956543
spambase_400,BIM_Linf,0.01,1.188653826713562,1.7505650520324707
spambase_400,BIM_Linf,0.05,1.3345683813095093,1.544160008430481
spambase_400,BIM_Linf,0.1,1.422263741493225,1.5278414487838745
